"10","26","0"
"14","256","6"
"5","476","3"
"12","57","8"
"3","140","1"
"0","263","13"
"16","291","2"
"10","493","18"
"10","271","10"
"7","48","16"
"7","452","16"
"0","391","10"
"1","536","6"
"3","249","0"
"17","320","4"
"7","504","17"
"15","443","5"
"14","268","5"
"1","369","9"
"10","280","7"
"12","5","1"
"3","139","19"
"10","168","0"
"1","546","5"
"18","158","2"
"4","154","17"
"5","417","12"
"0","378","9"
"11","16","7"
"18","10","11"
"11","350","2"
"18","379","11"
"2","419","6"
"11","258","4"
"6","536","5"
"19","138","16"
"3","326","18"
"18","98","19"
"5","366","8"
"5","404","13"
"11","99","10"
"4","265","5"
"10","458","2"
"11","382","8"
"11","152","13"
"6","204","5"
"18","470","19"
"13","250","0"
"11","139","0"
"14","418","18"
"3","53","12"
"9","204","13"
"0","234","12"
"19","496","15"
"19","435","12"
"12","62","9"
"5","171","10"
"3","516","19"
"14","162","18"
"12","233","4"
"8","18","14"
"10","491","11"
"16","224","9"
"18","29","15"
"4","277","6"
"11","15","9"
"19","441","7"
"0","225","19"
"12","136","8"
"18","567","6"
"4","399","18"
"15","369","15"
"19","405","13"
"11","317","4"
"9","510","8"
"12","246","14"
"6","187","15"
"14","38","13"
"6","539","9"
"13","106","9"
"8","166","4"
"6","314","4"
"5","355","6"
"18","163","1"
"3","129","8"
"18","293","9"
"5","62","8"
"18","380","3"
"13","266","10"
"19","537","20"
"8","110","17"
"17","57","0"
"10","434","19"
"15","325","18"
"7","122","13"
"13","85","18"
"8","558","11"
"4","41","0"
